EXTERNALIDENTIFIER,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
568545945,4.5,4.25,11.5,11.5,4.25,3,5.32,15.96,PICK_MODULE,60.07,12.43636364,24,12,3,6,MATRIX,Y
550472600,14,6,12,14,6,4,2.81,11.24,PICK_MODULE,25.67,12.4,5,3,1,1,MATRIX,Y
9244385,7.25,1.25,3.5,7.25,1.25,24,0.35,8.43,PICK_MODULE,26.15,12.36363636,166,84,19,41,MATRIX,Y
568329544,12,3,15.75,15.75,3,3,1.5,4.52,PICK_MODULE,30.65,12.32727273,9,5,1,2,MATRIX,Y
554209317,8.5,1,5,8.5,1,12,0.4,4.81,PICK_MODULE,160.98,12.27272727,124,63,15,31,MATRIX,Y
552799124,12,7.75,14.5,14.5,7.75,2,5.17,10.34,PICK_MODULE,23.24,12.27272727,4,2,0,1,MATRIX,Y
558203820,8,4,13,13,4,6,1,6.01,OFFLINE_PICK,44.55,12.25454545,13,6,1,3,MATRIX,Y
575759548,2.5,3.25,1,3.25,1,12,0.15,1.81,PICK_MODULE,27.92,12.21818182,646,327,76,161,MATRIX,Y
576257200,23,1,17,23,1,12,1.3,15.64,PICK_MODULE,40.83,12.2,13,7,2,3,MATRIX,Y
574584388,5.5,5.5,10.25,10.25,5.5,6,0.45,2.71,PICK_MODULE,30.79,12.2,17,9,2,4,MATRIX,Y
575130655,9.5,15.5,4,15.5,4,2,3.31,6.62,PICK_MODULE,82.09,12.18181818,9,5,1,2,MATRIX,Y
576257208,24,1,17,24,1,12,1,12.03,PICK_MODULE,23.51,12.16363636,13,7,2,3,MATRIX,Y
575517150,11,5,14.5,14.5,5,1,8.33,8.33,PALLET_FLOW_MODULE,37.63,12.10909091,7,3,1,2,MATRIX,Y
572471953,13,13,14.2,14.2,13,1,10.74,10.74,OFFLINE_PICK,39.03,12,2,1,0,1,MATRIX,Y
573954327,5.25,13.5,9.75,13.5,5.25,2,2.06,4.11,PICK_MODULE,29.45,11.85454545,8,4,1,2,MATRIX,Y
567392191,7,6.5,8,8,6.5,1,3.41,3.41,PICK_MODULE,218.04,11.85454545,14,7,2,4,MATRIX,Y
566759638,6.75,9.5,9.75,9.75,6.75,1,14.55,14.55,OFFLINE_PICK,62.9,11.78181818,8,4,1,2,MATRIX,Y
570641318,10.5,4.5,10.5,10.5,4.5,2,4.71,9.43,PICK_MODULE,29.57,11.76363636,11,5,1,3,MATRIX,Y
576257337,23.5,1,17.5,23.5,1,12,1.25,15.03,PICK_MODULE,54.6,11.74545455,13,6,2,3,MATRIX,Y
573954329,10,13.5,5.5,13.5,5.5,2,2.51,5.01,PICK_MODULE,78.96,11.74545455,7,4,1,2,MATRIX,Y
555975109,2.5,6,2.5,6,2.5,6,1.1,6.61,PICK_MODULE,132.97,11.72727273,140,71,16,35,MATRIX,Y
576973226,10,3,3,10,3,48,0.2,9.63,PICK_MODULE,123.69,11.69090909,58,30,7,15,MATRIX,Y
9574066,9,6,11,11,6,1,9.83,9.83,PICK_MODULE,21.81,11.63636364,9,4,1,2,MATRIX,Y
575614651,6.5,9.5,4,9.5,4,4,1.2,4.81,PICK_MODULE,34.83,11.61818182,21,11,2,5,MATRIX,Y
554576310,7,8.75,3.5,8.75,3.5,2,0.75,1.5,PICK_MODULE,61.42,11.6,24,12,3,6,MATRIX,Y
577131004,4.25,6.55,2,6.55,2,12,0.6,7.22,PICK_MODULE,55.09,11.6,94,48,11,24,MATRIX,Y
573995893,12,3.25,12,12,3.25,3,1.8,5.41,PICK_MODULE,91.93,11.58181818,11,6,1,3,MATRIX,Y
574256622,5,11,8.5,11,5,8,0.9,7.22,PICK_MODULE,54.14,11.56363636,11,6,1,3,MATRIX,Y
563432365,4.75,7,4.5,7,4.5,6,1.35,8.12,PICK_MODULE,72.09,11.54545455,35,18,4,9,MATRIX,Y
557096409,7,3.25,9,9,3.25,2,0.6,1.2,PICK_MODULE,70.78,11.52727273,26,13,3,6,MATRIX,Y
553480513,21.75,0.81,17.5,21.75,0.81,4,1.75,7.02,PICK_MODULE,127.84,11.52727273,17,9,2,4,MATRIX,Y
575643717,7,9.5,4.5,9.5,4.5,4,1.2,4.81,PICK_MODULE,21.11,11.52727273,18,9,2,4,MATRIX,Y
574950731,16,1,12,16,1,12,0.85,10.22,PICK_MODULE,193.4,11.50909091,27,14,3,7,MATRIX,Y
562948036,10.5,3.25,10.5,10.5,3.25,3,1.71,5.12,PICK_MODULE,158,11.45454545,15,7,2,4,MATRIX,Y
571323008,3,2.75,5.25,5.25,2.75,6,0.2,1.2,PICK_MODULE,80.02,11.45454545,121,61,14,30,MATRIX,Y
554266349,5.4,7.1,1.8,7.1,1.8,12,1.05,12.64,PICK_MODULE,75.73,11.45454545,76,39,9,19,MATRIX,Y
550420657,9.5,5.75,11,11,5.75,1,13.1,13.1,PICK_MODULE,58.58,11.43636364,9,4,1,2,MATRIX,Y
567211118,9,9,10,10,9,5,0.55,2.75,PICK_MODULE,238.47,11.41818182,6,3,1,2,MATRIX,Y
563235938,11,1,14,14,1,6,0.85,5.11,PICK_MODULE,101.69,11.38181818,34,17,4,9,MATRIX,Y
576040275,5.6,7.5,1.75,7.5,1.75,12,1.25,15.03,PICK_MODULE,57.39,11.36363636,71,36,8,18,MATRIX,Y
550408531,2.75,0.75,5.75,5.75,0.75,72,0.05,3.5,PICK_MODULE,261.78,11.36363636,443,224,52,110,MATRIX,Y
567906776,9,3,9.5,9.5,3,1,5.06,5.06,PICK_MODULE,83.11,11.36363636,20,10,2,5,MATRIX,Y
567132351,8.75,2.25,7.75,8.75,2.25,4,1.25,5.02,PICK_MODULE,267.38,11.36363636,34,17,4,9,MATRIX,Y
575619123,9.5,2.55,6.75,9.5,2.55,4,1.25,5.01,PICK_MODULE,114.51,11.27272727,32,16,4,8,MATRIX,Y
9577356,9,2.5,6.5,9,2.5,6,1.56,9.33,PICK_MODULE,56.54,11.25454545,36,18,4,9,MATRIX,Y
577622420,5.5,2.5,5.5,5.5,2.5,6,1,6.01,PICK_MODULE,82.24,11.2,69,35,8,17,MATRIX,Y
573929827,7.5,4,7.5,7.5,4,3,0.6,1.81,PICK_MODULE,600.05,11.2,23,12,3,6,MATRIX,Y
572509691,4,9.5,2.75,9.5,2.75,6,2.16,12.94,PICK_MODULE,27.6,11.18181818,50,25,6,13,MATRIX,Y
575759601,3.5,1.5,3,3.5,1.5,14,0.35,4.89,PICK_MODULE,49.68,11.18181818,333,169,39,83,MATRIX,Y
575027230,12.25,9.75,2.25,12.25,2.25,6,1.86,11.14,PICK_MODULE,53.46,11.14545455,20,10,2,5,MATRIX,Y
574256631,6.25,2.75,6.25,6.25,2.75,18,0.75,13.54,PICK_MODULE,45.62,11.12727273,49,25,6,12,MATRIX,Y
567895127,4,7.5,8.5,8.5,4,6,0.65,3.9,PICK_MODULE,47.36,11.09090909,21,10,2,5,MATRIX,Y
575588291,24,1,14,24,1,12,0.6,7.22,PICK_MODULE,29.07,11.01818182,16,8,2,4,MATRIX,Y
574216189,4.75,9.25,6,9.25,4.75,2,0.8,1.6,PICK_MODULE,72.31,11,20,10,2,5,MATRIX,Y
576408459,2.25,1.5,4.5,4.5,1.5,12,0.1,1.2,PICK_MODULE,46.66,10.94545455,346,175,41,86,MATRIX,Y
566878939,8,7,1,8,1,7,0.2,1.39,PICK_MODULE,38.71,10.94545455,94,48,11,23,MATRIX,Y
571836049,7.25,1.75,5.75,7.25,1.75,4,1.25,5.01,PICK_MODULE,42.27,10.90909091,72,36,8,18,MATRIX,Y
558158244,6.5,10.75,6.5,10.75,6.5,2,8.18,16.35,PICK_MODULE,257.15,10.85454545,12,6,1,3,MATRIX,Y
571649198,13,2.5,9,13,2.5,4,0.8,3.2,PICK_MODULE,82.69,10.8,18,9,2,4,MATRIX,Y
568099663,6.5,2,9,9,2,6,1.05,6.32,PICK_MODULE,102.86,10.76363636,45,23,5,11,MATRIX,Y
553701687,16,0.33,28,28,0.33,24,0.6,14.44,PICK_MODULE,49.18,10.74545455,36,18,4,9,MATRIX,Y
567447631,22.75,4,14.25,22.75,4,2,3.61,7.22,PICK_MODULE,77.04,10.70909091,4,2,0,1,MATRIX,Y
211870,4.25,4,7.5,7.5,4,6,0.35,2.11,PICK_MODULE,99.78,10.69090909,41,21,5,10,MATRIX,Y
576223558,5.5,5.74,5,5.74,5,4,1.25,5.02,PICK_MODULE,74.09,10.65454545,33,17,4,8,MATRIX,Y
567252533,4,4,9.5,9.5,4,4,3.86,15.45,PICK_MODULE,162.96,10.65454545,35,18,4,9,MATRIX,Y
562921639,10.5,6.75,10.5,10.5,6.75,1,8.88,8.88,PICK_MODULE,113.1,10.63636364,7,4,1,2,MATRIX,Y
972320,9.75,0.5,4.5,9.75,0.5,128,0.1,12.74,PICK_MODULE,171.57,10.63636364,239,121,28,60,MATRIX,Y
553566940,3.75,6.25,3.75,6.25,3.75,12,0.85,10.22,PICK_MODULE,25.42,10.61818182,60,30,7,15,MATRIX,Y
555924188,9,1.75,9.5,9.5,1.75,4,0.6,2.41,PICK_MODULE,33.5,10.58181818,35,18,4,9,MATRIX,Y
550090687,8,1.25,12,12,1.25,4,0.45,1.81,PICK_MODULE,29.77,10.56363636,44,22,5,11,MATRIX,Y
574523635,9,11,9.5,11,9,2,2.16,4.31,PICK_MODULE,48.74,10.52727273,6,3,1,1,MATRIX,Y
555535456,5,8.9,6,8.9,5,2,4.61,9.22,PICK_MODULE,40.81,10.50909091,20,10,2,5,MATRIX,Y
570892829,14,9,12,14,9,1,3.86,3.86,PICK_MODULE,25.44,10.50909091,3,2,0,1,MATRIX,Y
555046402,2.75,11,4.25,11,2.75,9,2.26,20.31,PICK_MODULE,133.59,10.49090909,41,21,5,10,MATRIX,Y
561805743,4,1.5,6.5,6.5,1.5,9,0.1,0.9,PICK_MODULE,43.34,10.49090909,135,68,16,34,MATRIX,Y
552926217,9,12.75,9,12.75,9,4,1,4.01,OFFLINE_PICK,218.12,10.47272727,5,3,1,1,MATRIX,Y
576154044,17,2,17,17,2,6,1.96,11.73,PICK_MODULE,46.98,10.43636364,9,5,1,2,MATRIX,Y
551610812,8,8.5,10.5,10.5,8,1,14.35,14.35,PICK_MODULE,99.44,10.41818182,7,4,1,2,MATRIX,Y
565900087,9,7,9,9,7,1,14.35,14.35,PICK_MODULE,75.83,10.41818182,9,5,1,2,MATRIX,Y
572031931,10,2,10,10,2,6,1.5,9.03,PICK_MODULE,72.71,10.38181818,26,13,3,7,MATRIX,Y
575898418,13,6,9.5,13,6,1,7.07,7.07,OFFLINE_PICK,166.17,10.38181818,7,4,1,2,MATRIX,Y
551396452,6.5,2,11,11,2,6,0.7,4.21,PICK_MODULE,59.95,10.38181818,37,19,4,9,MATRIX,Y
574165779,10,2,10,10,2,6,0.4,2.4,PICK_MODULE,216.96,10.34545455,26,13,3,7,MATRIX,Y
572431594,9.75,3,12,12,3,6,0.9,5.42,OFFLINE_PICK,56.53,10.34545455,15,8,2,4,MATRIX,Y
573318181,9,9,9,9,9,1,9.83,9.83,PICK_MODULE,24.02,10.32727273,7,4,1,2,MATRIX,Y
574485098,11.5,6.5,10.75,11.5,6.5,1,10.29,10.29,PICK_MODULE,31.93,10.32727273,7,3,1,2,MATRIX,Y
553686391,8.2,1,4.2,8.2,1,12,0.45,5.42,PICK_MODULE,63.86,10.30909091,152,77,18,38,MATRIX,Y
571841082,11.5,7,7,11.5,7,1,2.96,2.96,PICK_MODULE,33.2,10.29090909,9,5,1,2,MATRIX,Y
564200497,3.75,1.75,7.25,7.25,1.75,8,0.15,1.2,PICK_MODULE,351.89,10.29090909,110,56,13,28,MATRIX,Y
555554045,11,1,5.5,11,1,10,2.01,20.07,PICK_MODULE,80.03,10.27272727,87,44,10,22,MATRIX,Y
556094213,9.75,2.25,4.75,9.75,2.25,6,1.45,8.72,PICK_MODULE,75.02,10.25454545,50,26,6,13,MATRIX,Y
575984740,9,5,6,9,5,1,6.67,6.67,PICK_MODULE,96.86,10.21818182,19,10,2,5,MATRIX,Y
576687605,4,8.5,8,8.5,4,6,2.41,14.44,PICK_MODULE,30.05,10.21818182,19,10,2,5,MATRIX,Y
571225775,8.5,13,2.75,13,2.75,4,0.8,3.2,PICK_MODULE,54.56,10.21818182,17,9,2,4,MATRIX,Y
4032301,9.75,5.74,9.75,9.75,5.74,1,15.05,15.05,PICK_MODULE,44.48,10.16363636,10,5,1,2,MATRIX,Y
551840788,6,1,9,9,1,3,0.45,1.35,PICK_MODULE,92.46,10.16363636,97,49,11,24,MATRIX,Y
571732584,10.75,8,16.5,16.5,8,1,2.36,2.36,PALLET_FLOW_MODULE,39.78,10.09090909,4,2,0,1,MATRIX,Y
574004246,12.25,11.75,2.5,12.25,2.5,4,2.21,8.82,PICK_MODULE,79.06,10.07272727,15,7,2,4,MATRIX,Y
567341759,2,8.75,4.5,8.75,2,6,1.2,7.22,PICK_MODULE,71.49,10.07272727,67,34,8,17,MATRIX,Y
551701466,8.5,2.17,11.5,11.5,2.17,12,0.6,7.22,OFFLINE_PICK,240.58,10.07272727,25,13,3,6,MATRIX,Y
555193458,9.25,2.5,4.25,9.25,2.5,12,0.65,7.83,PICK_MODULE,63.7,10.05454545,53,27,6,13,MATRIX,Y
564568217,10.25,1,7.75,10.25,1,10,1.1,11.02,PICK_MODULE,316.23,10.03636364,66,33,8,16,MATRIX,Y
570655044,13,4.5,9.5,13,4.5,7,1,7.02,OFFLINE_PICK,33.69,10.01818182,9,5,1,2,MATRIX,Y
887813,11.5,4.7,12.9,12.9,4.7,2,10.74,21.47,PICK_MODULE,174.49,9.927272727,8,4,1,2,MATRIX,Y
556576984,14.25,6,15.25,15.25,6,2,2.26,4.51,OFFLINE_PICK,45.85,9.927272727,4,2,0,1,MATRIX,Y
565271542,13,4,16,16,4,3,1.86,5.57,PICK_MODULE,77.11,9.927272727,6,3,1,2,MATRIX,Y
551933184,5,22,13,22,5,2,7.02,14.05,PICK_MODULE,108.46,9.909090909,4,2,0,1,MATRIX,Y
550115029,14,6.33,2,14,2,3,1.2,3.61,PICK_MODULE,284.15,9.909090909,30,15,3,7,MATRIX,Y
568525397,18.75,14.75,4.25,18.75,4.25,2,5.87,11.74,PICK_MODULE,457.27,9.909090909,4,2,1,1,MATRIX,Y
571973508,9,4,3,9,3,3,0.9,2.71,PICK_MODULE,17.33,9.890909091,49,25,6,12,MATRIX,Y
564443084,10.25,8.75,7,10.25,7,1,14,14,OFFLINE_PICK,32.32,9.890909091,8,4,1,2,MATRIX,Y
553753676,5,1.5,6.5,6.5,1.5,7,0.5,3.52,PICK_MODULE,45.14,9.890909091,108,55,13,27,MATRIX,Y
568296418,8.5,8.5,16,16,8.5,2,1.96,3.91,PICK_MODULE,137.2,9.890909091,5,2,1,1,MATRIX,Y
565591827,8,10,8,10,8,6,4.71,28.29,PICK_MODULE,215.78,9.872727273,8,4,1,2,MATRIX,Y
566456674,8,2,2,8,2,6,1.15,6.92,PICK_MODULE,64.02,9.854545455,164,83,19,41,MATRIX,Y
570677928,5,1,6,6,1,3,0.2,0.6,PICK_MODULE,65.99,9.836363636,175,89,21,44,MATRIX,Y
841291,7,5.1,3.95,7,3.95,2,2.51,5.01,PICK_MODULE,51.61,9.8,37,19,4,9,MATRIX,Y
550488763,4.25,3.25,6.75,6.75,3.25,6,0.65,3.9,PICK_MODULE,175.46,9.781818182,56,29,7,14,MATRIX,Y
550545861,6.25,4.25,12.25,12.25,4.25,3,3.06,9.18,PICK_MODULE,131.43,9.727272727,16,8,2,4,MATRIX,Y
566053854,3.75,3,3.75,3.75,3,6,0.8,4.82,PICK_MODULE,110.04,9.727272727,124,63,15,31,MATRIX,Y
569868215,3.75,2.75,3.75,3.75,2.75,6,0.9,5.42,PICK_MODULE,105.58,9.727272727,136,69,16,34,MATRIX,Y
555547783,7,6,9.9,9.9,6,1,7.88,7.88,PICK_MODULE,30.12,9.727272727,13,6,1,3,MATRIX,Y
551379085,8,3,12,12,3,12,1.25,15.03,OFFLINE_PICK,156.67,9.709090909,18,9,2,5,MATRIX,Y
570761774,8.5,2.5,12.5,12.5,2.5,4,0.95,3.81,PICK_MODULE,22.43,9.690909091,20,10,2,5,MATRIX,Y
553101740,8.25,3,11.5,11.5,3,6,1.56,9.33,PICK_MODULE,30.66,9.690909091,18,9,2,5,MATRIX,Y
557618605,14,10,11.25,14,10,1,8.03,8.03,PICK_MODULE,211.05,9.654545455,3,2,0,1,MATRIX,Y
554923854,9,22,5.4,22,5.4,2,1.17,2.35,OFFLINE_PICK,92.06,9.636363636,5,2,1,1,MATRIX,Y
566882838,13,11.5,3.25,13,3.25,2,4.16,8.33,PICK_MODULE,72.16,9.618181818,11,5,1,3,MATRIX,Y
568347794,10.5,2,10.5,10.5,2,5,1.45,7.27,PICK_MODULE,60.95,9.618181818,24,12,3,6,MATRIX,Y
564446052,14,7.5,9.25,14,7.5,1,22.38,22.38,OFFLINE_PICK,150.59,9.581818182,5,3,1,1,MATRIX,Y
575489174,3,6.05,1.25,6.05,1.25,6,0.15,0.9,PICK_MODULE,62.84,9.581818182,231,117,27,58,MATRIX,Y
575588295,24,1,14.5,24,1,12,1.15,13.83,PICK_MODULE,51.12,9.563636364,15,8,2,4,MATRIX,Y
565358870,7,2.25,2,7,2,8,0.9,7.22,PICK_MODULE,139.53,9.527272727,167,84,20,42,MATRIX,Y
4205341,2.25,2.25,9.25,9.25,2.25,10,1,10.02,PICK_MODULE,156.67,9.527272727,112,57,13,28,MATRIX,Y
551318312,7.25,5.75,3.75,7.25,3.75,6,2.26,13.54,PICK_MODULE,122.25,9.490909091,34,17,4,8,MATRIX,Y
555036623,2.75,13,2.75,13,2.75,12,0.5,6.03,OFFLINE_PICK,38.78,9.490909091,53,27,6,13,MATRIX,Y
565121667,4.25,1.75,6.5,6.5,1.75,8,0.49,3.93,PICK_MODULE,26.5,9.490909091,109,55,13,27,MATRIX,Y
575256267,5,3,3,5,3,12,1.1,13.22,PICK_MODULE,32,9.490909091,117,59,14,29,MATRIX,Y
4001303,9.25,6,6.75,9.25,6,2,7.78,15.55,PICK_MODULE,126.22,9.472727273,14,7,2,3,MATRIX,Y
563147757,10,6,2,10,2,4,3.21,12.84,PICK_MODULE,26.81,9.472727273,44,22,5,11,MATRIX,Y
572758262,4.5,2.25,4.5,4.5,2.25,6,0.75,4.51,PICK_MODULE,73.64,9.454545455,115,58,14,29,MATRIX,Y
4021694,5.75,1,5.25,5.75,1,36,0.15,5.42,PICK_MODULE,78.54,9.454545455,174,88,20,43,MATRIX,Y
573973780,8,6,9,9,6,2,1.96,3.91,PICK_MODULE,100.23,9.436363636,12,6,1,3,MATRIX,Y
571441492,10.75,10.5,2.5,10.75,2.5,6,1.1,6.62,PICK_MODULE,18.68,9.436363636,19,9,2,5,MATRIX,Y
1759809,11.75,6,18,18,6,1,7.93,7.93,PICK_MODULE,205.6,9.418181818,4,2,0,1,MATRIX,Y
576474639,5,11,5,11,5,4,1.5,6.02,PICK_MODULE,36.87,9.381818182,19,10,2,5,MATRIX,Y
567324143,7,2.75,4,7,2.75,6,2.11,12.64,PICK_MODULE,37.87,9.381818182,68,35,8,17,MATRIX,Y
554311002,5.75,3.25,5.75,5.75,3.25,6,0.2,1.19,PICK_MODULE,95.47,9.345454545,49,25,6,12,MATRIX,Y
572703255,9.5,9,12.5,12.5,9,1,6.02,6.02,PICK_MODULE,109.62,9.327272727,5,2,1,1,MATRIX,Y
555944894,2.75,11.25,2.75,11.25,2.75,4,1.81,7.22,PICK_MODULE,70.1,9.327272727,62,31,7,15,MATRIX,Y
553142976,9.75,3,4,9.75,3,12,0.65,7.81,PICK_MODULE,100.44,9.309090909,45,23,5,11,MATRIX,Y
9277019,3.5,1.5,3.5,3.5,1.5,12,0.35,4.19,PICK_MODULE,24.73,9.290909091,286,145,34,71,MATRIX,Y
569789125,2.5,2,5.25,5.25,2,12,0.2,2.39,PICK_MODULE,66.26,9.290909091,200,101,24,50,MATRIX,Y
575256400,8,1.08,14,14,1.08,6,0.6,3.61,PICK_MODULE,196.32,9.290909091,43,22,5,11,MATRIX,Y
552046649,7.5,4.75,7.5,7.5,4.75,4,4.56,18.22,PICK_MODULE,41.91,9.272727273,20,10,2,5,MATRIX,Y
550558067,7,2,5,7,2,12,0.2,2.41,PICK_MODULE,200.56,9.272727273,75,38,9,19,MATRIX,Y
562933740,12,13.25,7.5,13.25,7.5,2,8.78,17.56,PICK_MODULE,36.88,9.272727273,4,2,1,1,MATRIX,Y
572582136,3,4,2,4,2,24,0.15,3.61,PICK_MODULE,204.68,9.218181818,219,111,26,55,MATRIX,Y
567075089,8.5,1,4.75,8.5,1,16,0.3,4.81,PICK_MODULE,274.37,9.2,130,66,15,32,MATRIX,Y
574331063,4,2,1.5,4,1.5,24,0.25,6,PICK_MODULE,185.6,9.181818182,438,222,51,109,MATRIX,Y
552694830,5.5,4.5,11,11,4.5,2,1.65,3.31,PICK_MODULE,66.7,9.163636364,19,10,2,5,MATRIX,Y
575801956,8,10,4.5,10,4.5,4,3.41,13.65,PICK_MODULE,123.26,9.163636364,15,7,2,4,MATRIX,Y
565603088,11.2,7,12.7,12.7,7,2,1.99,3.97,PICK_MODULE,145.54,9.145454545,5,3,1,1,MATRIX,Y
572684154,2,6,2,6,2,12,0.65,7.81,PICK_MODULE,93.03,9.145454545,219,111,26,55,MATRIX,Y
571750538,9.5,9.5,12,12,9.5,1,2.81,2.81,OFFLINE_PICK,39.04,9.109090909,5,2,1,1,MATRIX,Y
564155304,6.75,9.25,1.5,9.25,1.5,6,2.71,16.25,PICK_MODULE,50.33,9.090909091,56,28,7,14,MATRIX,Y
572537806,8,4.5,2.25,8,2.25,8,2.16,17.26,PICK_MODULE,56.8,9.072727273,65,33,8,16,MATRIX,Y
568051187,6.25,1.5,11.25,11.25,1.5,12,1.35,16.25,PICK_MODULE,188.09,9.072727273,50,25,6,12,MATRIX,Y
564441488,3,0.75,4,4,0.75,36,0.1,3.61,PICK_MODULE,67.68,9.072727273,583,296,69,146,MATRIX,Y
575850181,16,8,11,16,8,1,4.92,4.92,PALLET_FLOW_MODULE,154.65,9.054545455,4,2,0,1,MATRIX,Y
571754766,3,5,3,5,3,15,0.35,5.24,PICK_MODULE,173,9.036363636,117,59,14,29,MATRIX,Y
574884677,7,8,4,8,4,2,1.2,2.41,PICK_MODULE,53.74,9,23,12,3,6,MATRIX,Y
568516523,6,2,10.5,10.5,2,4,1.55,6.22,PICK_MODULE,24.55,9,42,21,5,10,MATRIX,Y
572121555,9,3,9.5,9.5,3,4,0.65,2.61,PICK_MODULE,96.53,8.963636364,20,10,2,5,MATRIX,Y
552964887,7,3,3.5,7,3,6,1.75,10.54,PICK_MODULE,147.19,8.945454545,71,36,8,18,MATRIX,Y
1381448,5.5,1.67,12.5,12.5,1.67,6,1.86,11.14,PICK_MODULE,18.6,8.927272727,46,23,5,11,MATRIX,Y
565334848,8.25,6,9.5,9.5,6,8,1.45,11.63,PICK_MODULE,362.81,8.927272727,11,6,1,3,MATRIX,Y
565270206,3.25,2,10.25,10.25,2,6,0.18,1.08,PICK_MODULE,93.68,8.909090909,79,40,9,20,MATRIX,Y
574555497,6,7,3,7,3,4,0.35,1.4,PICK_MODULE,156.11,8.909090909,42,21,5,10,MATRIX,Y
575815240,14,10.5,10,14,10,1,3.51,3.51,PICK_MODULE,89.73,8.909090909,4,2,0,1,MATRIX,Y
553900213,12,5,9.5,12,5,2,1.96,3.91,PICK_MODULE,47.93,8.890909091,9,5,1,2,MATRIX,Y
565616554,14,4,10,14,4,2,1.6,3.21,PICK_MODULE,99.75,8.890909091,9,5,1,2,MATRIX,Y
574916870,3,12,2,12,2,4,0.3,1.2,PICK_MODULE,68.84,8.854545455,73,37,9,18,MATRIX,Y
550377062,7,10,3,10,3,6,3.51,21.07,PICK_MODULE,19.48,8.836363636,25,13,3,6,MATRIX,Y
567571331,9,5.25,9,9,5.25,2,1.2,2.41,PICK_MODULE,101.72,8.818181818,12,6,1,3,MATRIX,Y
567330470,8.25,4.75,7.25,8.25,4.75,1,0.9,0.9,PICK_MODULE,32.39,8.818181818,18,9,2,5,MATRIX,Y
576277145,15.25,3.25,11,15.25,3.25,1,2.26,2.26,PICK_MODULE,67.23,8.818181818,10,5,1,2,MATRIX,Y
575588285,23.5,1,14.25,23.5,1,12,1.35,16.25,PICK_MODULE,46.19,8.818181818,16,8,2,4,MATRIX,Y
575874835,6.5,9,6.5,9,6.5,13,1.1,14.35,PICK_MODULE,256.99,8.818181818,14,7,2,3,MATRIX,Y
574434128,10.5,6.25,8,10.5,6.25,1,13.1,13.1,PICK_MODULE,26.92,8.818181818,10,5,1,2,MATRIX,Y
576713129,2.5,4,2,4,2,24,0.2,4.78,PICK_MODULE,32.4,8.8,263,133,31,66,MATRIX,Y
553170151,4,2,9.5,9.5,2,4,1.9,7.62,PICK_MODULE,208.71,8.781818182,69,35,8,17,MATRIX,Y
575027229,9.25,8.75,2.5,9.25,2.5,6,0.95,5.72,PICK_MODULE,69.42,8.763636364,26,13,3,6,MATRIX,Y
565090573,9,7.75,6.75,9,6.75,1,10.58,10.58,OFFLINE_PICK,67.58,8.745454545,11,6,1,3,MATRIX,Y
575282824,10.7,2.7,7.5,10.7,2.7,4,0.8,3.2,PICK_MODULE,270.43,8.745454545,24,12,3,6,MATRIX,Y
575697064,5.5,7.5,4,7.5,4,4,2,8.02,PALLET_FLOW_MODULE,34.02,8.727272727,32,16,4,8,MATRIX,Y
9216023,4.5,3,3,4.5,3,12,1.1,13.22,PICK_MODULE,34.13,8.727272727,130,66,15,32,MATRIX,Y
574848207,12,2,10,12,2,4,1.2,4.81,PICK_MODULE,145.26,8.709090909,22,11,3,5,MATRIX,Y
565889372,4,4,4.25,4.25,4,12,0.95,11.44,PICK_MODULE,45.93,8.709090909,77,39,9,19,MATRIX,Y
571354249,6.5,2.5,9.25,9.25,2.5,4,0.45,1.81,PICK_MODULE,87.07,8.709090909,35,18,4,9,MATRIX,Y
574019599,15.75,6.25,11,15.75,6.25,1,7.37,7.37,PICK_MODULE,63,8.672727273,5,2,1,1,MATRIX,Y
576030034,16,3,13,16,3,3,1.71,5.12,PICK_MODULE,55.67,8.672727273,8,4,1,2,MATRIX,Y
567240317,18.2,2.69,12.2,18.2,2.69,4,1.6,6.42,PICK_MODULE,91.88,8.654545455,9,4,1,2,MATRIX,Y
564212686,2,3.5,1.25,3.5,1.25,12,0.15,1.81,PICK_MODULE,137.7,8.636363636,600,304,71,150,MATRIX,Y
565562468,6,10,8,10,6,1,14.3,14.3,OFFLINE_PICK,50.87,8.636363636,11,6,1,3,MATRIX,Y
9558704,5.25,7.75,2.75,7.75,2.75,12,1.1,13.22,PICK_MODULE,125.45,8.636363636,47,24,6,12,MATRIX,Y
574567003,6,2.3,8,8,2.3,8,0.5,4,PICK_MODULE,163.51,8.636363636,48,24,6,12,MATRIX,Y
575865413,10,2.5,6,10,2.5,2,1,2.01,PICK_MODULE,19.49,8.618181818,35,18,4,9,MATRIX,Y
564119269,4,2,8,8,2,12,0.95,11.42,PICK_MODULE,128.52,8.618181818,82,42,10,20,MATRIX,Y
566913306,10,10,14.5,14.5,10,1,7.33,7.33,PICK_MODULE,21.56,8.618181818,4,2,0,1,MATRIX,Y
552808832,2,2,3.75,3.75,2,36,0.25,9,PICK_MODULE,43.42,8.6,350,177,41,87,MATRIX,Y
